epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.5605,1.14804,4.16606,1.14405,0.00392,0.92157,0.00795,0.00421,1.04678,4.55224,0.96241,0.00016,0.00016,0.00016
2,69.4233,1.03984,2.73441,0.99621,0.00425,1,0.06852,0.05119,1.07634,4.13661,0.98749,0.000333268,0.000333268,0.000333268
3,102.27,1.02473,2.24063,0.97055,0.00408,0.96078,0.15432,0.11649,0.97236,3.91574,0.96803,0.000499408,0.000499408,0.000499408
4,135.546,0.97512,1.83677,0.96536,0.00425,1,0.35232,0.24412,1.07213,3.89781,1.02532,0.00065842,0.00065842,0.00065842
5,172.245,1.00403,1.84521,0.99077,1,0.1103,0.32799,0.2433,1.08597,3.89372,1.04727,0.000810304,0.000810304,0.000810304
6,205.518,1.01213,1.94204,0.94928,0.9978,0.11765,0.33054,0.23221,1.12655,3.90452,1.02871,0.00095506,0.00095506,0.00095506
7,238.977,0.94104,1.61048,0.97915,0.72212,0.45098,0.59651,0.43605,1.07729,3.28844,1.03246,0.00109269,0.00109269,0.00109269
8,272.508,0.98454,1.66795,0.95767,0.72579,0.41176,0.62483,0.42086,1.22844,3.20034,1.00679,0.00122319,0.00122319,0.00122319
9,305.574,1.03244,1.68961,1.02357,0.7758,0.33942,0.53141,0.36651,1.16464,3.28788,1.07806,0.00134656,0.00134656,0.00134656
10,339.035,0.99995,1.54395,0.9706,0.7624,0.50348,0.69819,0.46691,1.13076,2.79773,1.03904,0.0014628,0.0014628,0.0014628
11,372.163,0.98628,1.49812,0.98676,0.70299,0.47059,0.64409,0.40862,1.16102,2.9002,1.03761,0.00157192,0.00157192,0.00157192
12,405.598,1.02851,1.41558,0.99222,0.67839,0.60784,0.69908,0.46264,1.35538,2.62214,1.14042,0.0015644,0.0015644,0.0015644
13,439.081,0.94684,1.29448,0.96914,0.69576,0.60784,0.69877,0.46429,1.31958,2.56616,1.12891,0.0015248,0.0015248,0.0015248
14,473.453,0.95527,1.36354,0.94221,0.48295,0.54945,0.54141,0.38557,1.23189,2.53103,1.14493,0.0014852,0.0014852,0.0014852
15,506.793,0.9165,1.3287,0.97136,0.44563,0.68627,0.60916,0.39692,1.32882,2.32024,1.22769,0.0014456,0.0014456,0.0014456
16,540.779,0.93507,1.2658,0.97403,0.5822,0.66667,0.6588,0.43677,1.27218,2.09801,1.13069,0.001406,0.001406,0.001406
17,577.503,0.84086,1.16483,0.93456,0.63634,0.65195,0.68069,0.47241,1.26674,2.11727,1.08804,0.0013664,0.0013664,0.0013664
18,628.905,0.83398,1.19243,0.94775,0.68671,0.64706,0.72071,0.54075,1.13259,2.01035,1.04844,0.0013268,0.0013268,0.0013268
19,678.287,0.83603,1.07505,0.94028,0.62878,0.70588,0.73647,0.51302,1.07983,1.69069,1.02451,0.0012872,0.0012872,0.0012872
20,713.862,0.84269,1.07367,0.93965,0.6308,0.70588,0.7296,0.53463,1.02814,1.70809,0.99586,0.0012476,0.0012476,0.0012476
21,748.384,0.79439,1.03107,0.92155,0.71058,0.67407,0.73489,0.54093,1.07352,1.63835,1.01498,0.001208,0.001208,0.001208
22,783.057,0.82666,0.97801,0.95298,0.72244,0.71459,0.701,0.51904,1.04801,1.83888,1.00202,0.0011684,0.0011684,0.0011684
23,818.488,0.77807,0.96669,0.90109,0.76699,0.72549,0.78342,0.56348,1.11631,1.50237,1.11629,0.0011288,0.0011288,0.0011288
24,853.839,0.76073,0.90786,0.90308,0.72139,0.66667,0.71987,0.51557,1.24774,1.4809,1.27765,0.0010892,0.0010892,0.0010892
25,903.806,0.75522,0.87532,0.89335,0.72913,0.70588,0.78755,0.54575,1.19193,1.42986,1.19717,0.0010496,0.0010496,0.0010496
26,957.24,0.77179,0.92214,0.93299,0.77039,0.65799,0.77984,0.56158,1.15766,1.41082,1.11686,0.00101,0.00101,0.00101
27,998.332,0.73472,0.85707,0.88661,0.62316,0.76471,0.77109,0.563,1.15222,1.40503,1.08175,0.0009704,0.0009704,0.0009704
28,1032.97,0.70956,0.93468,0.89835,0.61365,0.70588,0.75659,0.5693,1.07083,1.48085,0.97677,0.0009308,0.0009308,0.0009308
29,1067.45,0.74025,0.89958,0.9185,0.66329,0.66667,0.71279,0.53627,1.07405,1.77999,1.01026,0.0008912,0.0008912,0.0008912
30,1105.02,0.71462,0.83283,0.89934,0.75526,0.66562,0.76219,0.56286,1.08502,1.50296,1.01965,0.0008516,0.0008516,0.0008516
31,1141.02,0.72807,0.76831,0.89181,0.71568,0.76471,0.7962,0.58839,1.07588,1.22814,1.01182,0.000812,0.000812,0.000812
32,1178.04,0.70937,0.71568,0.87955,0.75584,0.68627,0.79502,0.61228,0.9577,1.2111,0.98499,0.0007724,0.0007724,0.0007724
